"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         115,      -5.786933861,      -2.133482886,      -3.542846695,     -0.3322287537,      -7.163080321
          0,           0,         116,       -5.75746603,      -2.135128277,      -3.512336417,     -0.3013984458,      -7.147502867
          0,           0,         117,      -5.728833926,      -2.138804893,       -3.48609847,     -0.2719439938,      -7.147627364
          0,           0,         118,      -5.797423198,      -2.139985819,      -3.612812097,     -0.3435934727,      -7.140460064
          0,           0,         119,      -5.778615972,      -2.141631385,      -3.586194914,     -0.3236545755,      -7.121831191
          0,           0,         120,      -5.751375162,      -2.145300458,      -3.543829713,     -0.2954446188,      -7.121485028
          0,           0,         121,      -5.810249312,      -2.146453967,      -3.673771962,     -0.3570003859,      -7.113682085
          0,           0,         122,      -5.794235161,      -2.148117949,      -3.628231292,     -0.3395430357,      -7.100117935
          0,           0,         123,      -5.764608248,      -2.151796602,       -3.58550503,      -0.309073262,       -7.09952702
          0,           0,         124,      -5.823033338,       -2.15294531,      -3.731160611,     -0.3700542026,      -7.089721504
          0,           0,         125,      -5.804268247,      -2.154621188,      -3.678610135,     -0.3498346865,      -7.074876688
          0,           0,         126,      -5.774057931,      -2.158327741,       -3.64998628,     -0.3189129589,      -7.073887767
          0,           0,         127,      -5.833101942,      -2.159491512,      -3.794674278,     -0.3801789998,      -7.067406455
          0,           0,         128,      -5.813816167,      -2.161187744,      -3.761919052,     -0.3598509708,      -7.052384985
          0,           0,         129,      -5.785290662,      -2.164937542,      -3.740915099,       -0.33042418,      -7.051076047
          0,           0,         130,      -5.841127633,      -2.166117138,      -3.861935579,     -0.3881180509,        -7.0438699
          0,           0,         131,      -5.825094767,      -2.167840635,      -3.858092588,     -0.3714101638,      -7.031584438
          0,           0,         132,      -5.797863786,      -2.171640993,      -3.820237834,     -0.3429063699,      -7.030157068
          0,           0,         133,      -5.849268887,      -2.172828043,      -3.921633524,     -0.3960347068,      -7.023055301
          0,           0,         134,      -5.836525617,      -2.174580473,      -3.922118652,     -0.3826716787,      -7.009229338
          0,           0,         135,      -5.809171398,      -2.178428439,      -3.859040129,     -0.3538488517,      -7.007376175
